id,listing_url,host_id,host_name,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,has_availability,review_scores_rating,instant_bookable
970988390496915936,https://www.airbnb.com/rooms/970988390496915936,37839136,Vacasa Hawaii,t,Koloa-Poipu,Kauai,21.87419,-159.44347,Entire condo,Entire home/apt,6,2 baths,4,$372.00,t,4.5,t
13960772,https://www.airbnb.com/rooms/13960772,25475057,Jim,t,Koloa-Poipu,Kauai,21.88153,-159.45049,Entire home,Entire home/apt,8,3 baths,7,$743.00,t,5,f
53432641,https://www.airbnb.com/rooms/53432641,107979946,Castle Resorts And Hotels,t,Koloa-Poipu,Kauai,21.876996,-159.457606,Entire condo,Entire home/apt,4,1 bath,2,$357.00,t,5,t
42335649,https://www.airbnb.com/rooms/42335649,336680041,Katie,t,Koloa-Poipu,Kauai,21.87844,-159.45945,Entire condo,Entire home/apt,4,1 bath,2,$268.00,t,3.92,f
47963720,https://www.airbnb.com/rooms/47963720,115700802,Princeville Vacation Rentals,t,Koloa-Poipu,Kauai,21.87554,-159.45839,Entire condo,Entire home/apt,4,1 bath,2,$243.00,t,4.68,f
40967909,https://www.airbnb.com/rooms/40967909,188741018,Garden Island Rentals,t,Koloa-Poipu,Kauai,21.87306,-159.44489,Entire home,Entire home/apt,10,3 baths,3,$435.00,t,4,t
24694592,https://www.airbnb.com/rooms/24694592,44694016,Stephen,t,Koloa-Poipu,Kauai,21.87535,-159.44691,Entire condo,Entire home/apt,8,3 baths,4,$849.00,t,5,f
43714510,https://www.airbnb.com/rooms/43714510,97006413,Suite Paradise,t,Koloa-Poipu,Kauai,21.87677,-159.44682,Entire condo,Entire home/apt,6,2 baths,4,$261.00,t,4.75,t
529551,https://www.airbnb.com/rooms/529551,756093,Kaua’i,t,Koloa-Poipu,Kauai,21.8741,-159.4514,Entire home,Entire home/apt,16,4 baths,8,$849.00,t,4.57,f
37968443,https://www.airbnb.com/rooms/37968443,47208806,Oceanfront Realty International,t,Koloa-Poipu,Kauai,21.88269,-159.47371,Entire condo,Entire home/apt,2,1 bath,1,$167.00,t,4.66,t
37213883,https://www.airbnb.com/rooms/37213883,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88275,-159.46869,Entire rental unit,Entire home/apt,4,2 baths,3,$236.00,t,4.95,t
41908222,https://www.airbnb.com/rooms/41908222,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88314,-159.46799,Entire condo,Entire home/apt,4,1 bath,2,$241.00,t,4.75,t
946494601300303759,https://www.airbnb.com/rooms/946494601300303759,134298669,Krisy,t,Koloa-Poipu,Kauai,21.8817621,-159.4744039,Entire rental unit,Entire home/apt,4,1 bath,1,$257.00,t,5,t
52879912,https://www.airbnb.com/rooms/52879912,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88698,-159.47536,Entire home/apt,Entire home/apt,9,3.5 baths,5,$1044.00,t,5,t
52280809,https://www.airbnb.com/rooms/52280809,81931213,Vicki,t,Koloa-Poipu,Kauai,21.88281,-159.46794,Entire condo,Entire home/apt,4,1 bath,2,$208.00,t,4.6,t
41931836,https://www.airbnb.com/rooms/41931836,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87945,-159.47054,Entire condo,Entire home/apt,9,4.5 baths,4,$1044.00,t,4.5,t
24333218,https://www.airbnb.com/rooms/24333218,756093,Kaua’i,t,Koloa-Poipu,Kauai,21.8876,-159.461,Entire home,Entire home/apt,8,2.5 baths,4,$569.00,t,4.6,f
43661870,https://www.airbnb.com/rooms/43661870,160619531,James,t,Koloa-Poipu,Kauai,21.87226,-159.44389,Private room in resort,Private room,6,2 baths,3,$689.00,t,4.5,t
37213656,https://www.airbnb.com/rooms/37213656,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.8742,-159.44374,Entire rental unit,Entire home/apt,4,2 baths,2,$341.00,t,4.88,t
53835887,https://www.airbnb.com/rooms/53835887,44132411,Jacob,f,Koloa-Poipu,Kauai,21.87708732,-159.4584443,Entire condo,Entire home/apt,4,1 bath,2,$312.00,t,4.5,t
19911563,https://www.airbnb.com/rooms/19911563,138981180,Benjamin,t,Koloa-Poipu,Kauai,21.87464,-159.44645,Entire condo,Entire home/apt,5,2.5 baths,4,$442.00,t,4.63,t
